docid	sentid	sent	start	finish	error	correction	tag	annotator1	10	Такие условия легко способствуют отравлению свинцем жителей поселка.	13	13	свинцем	свинцом	Infl	Annotator1
1	10	Такие условия легко способствуют отравлению свинцем жителей поселка.	6	6	свинцем	свинцом	Infl	Annotator1
1	2	Одной из самых главных экологических проблем на территории Российской Федерации является загрязнение окружющей среды тяжелыми металлами, такими как свинeц, кадмий и цинк.	13	13	окружющей	окружающей	Ortho	admin
1	25	Самый главный проект направлен на улучшение экологической ситуации и снижению риска отравления детей свинцем.	14	14	свинцем	свинцом	Infl	Annotator1
1	7	В ходе исследования было выявлено высокое содержание тяжелых металлов в воде, атмосферных осадках, почвах и растениях, что оказывает негативное влияние на флору и фауну.	8	9	в	в ходе	Constr, Transfer	Annotator1
1	24	Петр Шаров предлагает провести похожий проект и в Дальногорском районе, но для начала нужно провести ряд определенныx исследований.	4	4	провести	осуществить	Lex,, Transfer	Annotator1
1	25	Самый главный проект направлен на улучшение экологической ситуации и снижению риска отравления детей свинцем.	14	14	свинцем	свинцом	Infl	Annotator1
1	25	Самый главный проект направлен на улучшение экологической ситуации и снижению риска отравления детей свинцем.	10	10	снижению	снижение	Gov	Annotator1
1	2	Одной из самых главных экологических проблем на территории Российской Федерации является загрязнение окружющей среды тяжелыми металлами, такими как свинeц, кадмий и цинк.	13	13	загрязнение	загрязнения	Gov	Annotator1
1	11	Этот металл может сохраняться в организме человека годами и разрушать его, воздействую на нервную систему, желудожно-кишечный тракт и кроветворные органы.	12	12	воздействую	воздействуя	Syntax	Annotator1
1	14	Основной путь попадания свинца в организм - это воздушный, если воздух загрязнен частицами свинца, попавшими с дымом завода или пылью загрязненной почвы при сильном ветре.	8	8	это	 	Syntax, Insert, Transfer	Annotator1
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	3	3	поехола	поехала	Ortho, S\ubst	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	11	11	Эфельную	Эйфелеву	Translit	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	20	20	циганей	цыган	Ortho, S\ubst, Infl	mginazova
10	2	Они были без домные и у них было много средств как обокрасть людей.	3	4	без	бездомные	Space, Insert	mginazova
10	2	Они были без домные и у них было много средств как обокрасть людей.	10	10	средств	способов	Lex, Transfer	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	6	6	каторое	которое	Ortho, S\ubst	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	13	13	англиском	английском	Ortho, Del	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	1	1	Один	Одним	Gov	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	17	17	написано	было написано	Tense	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	20	22	нужны	нужны деньги чтобы попасть	Constr, Del, Transfer	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	7	7	група	группа	Ortho, Del	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	8	8	дитей	детей	Ortho, S\ubst	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	10	10	их	его	Ref, S\ubst, Transfer	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	13	13	ихнену	его	Ref, Deriv, Insert	mginazova
10	5	Это происходит очень быстро даже не заметеш как быстро дети могут тебя обокрасть.	7	7	заметеш	заметишь	Ortho	mginazova
